"filename", "language", "Python", "HTML", "PostCSS", "JavaScript", "C++", "comment", "blank", "total"
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\DriverDirectory\script.js", "JavaScript", 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\DriverDirectory\style.css", "PostCSS", 0, 0, 55, 0, 0, 2, 11, 68
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\DriverInterface\style.css", "PostCSS", 0, 0, 48, 0, 0, 0, 12, 60
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\Foundation\style.css", "PostCSS", 0, 0, 13, 0, 0, 1, 1, 15
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\Home\script.js", "JavaScript", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\Home\style.css", "PostCSS", 0, 0, 69, 0, 0, 4, 12, 85
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\Index\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\ManageProfile\style.css", "PostCSS", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\PortInterface\style.css", "PostCSS", 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\Registration\style.css", "PostCSS", 0, 0, 100, 0, 0, 4, 19, 123
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\TruckInterface\style.css", "PostCSS", 0, 0, 61, 0, 0, 5, 16, 82
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\Unauthorized\style.css", "PostCSS", 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\truckmanagement\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
